heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,metric_value_transformed,iqr_distance,outlier_score,outlier_method,metric_name
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_1_calendar_months,-540.6145161,balance,amount,Average balance,-6.294554523491476,3.009913560129568,3.009913560129568,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_3_calendar_months,-690.1569565,balance,amount,Average balance,-6.53836694196859,3.0667040535974768,3.0667040535974768,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_6_calendar_months,-1385.208177,balance,amount,Average balance,-7.23432736832668,3.2288120228874897,3.2288120228874897,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_12_calendar_months,-1221.513945,balance,amount,Average balance,-7.108664628236934,3.199541778718627,3.199541778718627,IQR,balance_average
eus_avb47hn3MaRgBTBNFxob8L,balance_average,last_30_days,-37.0675,balance,amount,Average balance,-3.6393608997327505,2.391447293776297,2.391447293776297,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_120_days,-1001.087542,balance,amount,Average balance,-6.909840645093982,3.153230306208447,3.153230306208447,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_180_days,-5553.530169,balance,amount,Average balance,-8.622369120459002,3.5521244142333566,3.5521244142333566,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_365_days,-6520.643003,balance,amount,Average balance,-8.782881617500616,3.5895121074923653,3.5895121074923653,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_1_calendar_months,-477.5848387,balance,amount,Average balance,-6.170833496535392,2.981095593362006,2.981095593362006,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_3_calendar_months,-5418.054891,balance,amount,Average balance,-8.597676704874473,3.546372884123779,3.546372884123779,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_6_calendar_months,-7127.944199,balance,amount,Average balance,-8.871918423761985,3.6102511830323762,3.6102511830323762,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_12_calendar_months,-7522.566603,balance,amount,Average balance,-8.925795586821408,3.6228006286098706,3.6228006286098706,IQR,balance_average
eus_KBVBcbaFgQDXroqDNpwbwb,balance_average,last_180_days,-1217.987374,balance,amount,Average balance,-7.105775771757409,3.198868886065927,3.198868886065927,IQR,balance_average
eus_KBVBcbaFgQDXroqDNpwbwb,balance_average,last_3_calendar_months,-1024.66413,balance,amount,Average balance,-6.9330956134627035,3.158647016060592,3.158647016060592,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_90_days,-2207.948545,balance,amount,Average balance,-7.700271909803418,3.33734308379252,3.33734308379252,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_120_days,-3093.554824,balance,amount,Average balance,-8.037399337616437,3.415869161777613,3.415869161777613,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_180_days,-2284.837793,balance,amount,Average balance,-7.734487885144297,3.345312908037862,3.345312908037862,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_1_calendar_months,-1775.0275,balance,amount,Average balance,-7.48213440766647,3.2865329713807228,3.2865329713807228,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_3_calendar_months,-3093.554824,balance,amount,Average balance,-8.037399337616437,3.415869161777613,3.415869161777613,IQR,balance_average
eus_WeFvdd2E54LAMn6i4LfkMJ,balance_average,last_6_calendar_months,-1754.232586,balance,amount,Average balance,-7.470356654754283,3.283789614811751,3.283789614811751,IQR,balance_average
eus_U5GX9hWJNDwPTVZArwWfqW,balance_average,last_30_days,-3304.497857,balance,amount,Average balance,-8.103342378460006,3.4312290759840844,3.4312290759840844,IQR,balance_average
eus_U5GX9hWJNDwPTVZArwWfqW,balance_average,last_365_days,-206.9948485,balance,amount,Average balance,-5.337513312567692,2.7869928287863117,2.7869928287863117,IQR,balance_average
eus_U5GX9hWJNDwPTVZArwWfqW,balance_average,last_12_calendar_months,-1263.653808,balance,amount,Average balance,-7.142553694142054,3.207435456932146,3.207435456932146,IQR,balance_average
eus_V6H9Ye7CqCASwA7HHJ4MFa,balance_average,last_30_days,-175.4456522,balance,amount,Average balance,-5.1730129094096515,2.7486762445476303,2.7486762445476303,IQR,balance_average
eus_V6H9Ye7CqCASwA7HHJ4MFa,balance_average,last_90_days,-513.7339759,balance,amount,Average balance,-6.243650215554486,2.998056572756075,2.998056572756075,IQR,balance_average
eus_V6H9Ye7CqCASwA7HHJ4MFa,balance_average,last_365_days,-89.25324022,balance,amount,Average balance,-4.502619499283185,2.5925235234659123,2.5925235234659123,IQR,balance_average
eus_V6H9Ye7CqCASwA7HHJ4MFa,balance_average,last_1_calendar_months,-2642.778387,balance,amount,Average balance,-7.87996438013647,3.379198310554234,3.379198310554234,IQR,balance_average
eus_d9ZiSFK6mbvcwLmhtfNyU3,balance_average,last_30_days,0.00919057,balance,amount,Average balance,0.009148593706230751,1.541610948897097,1.541610948897097,IQR,balance_average
eus_PLh3KYeaMc3whfzMrJnN6x,balance_average,last_120_days,-636.8863478,balance,amount,Average balance,-6.458160129231774,3.048021721896479,3.048021721896479,IQR,balance_average
eus_PLh3KYeaMc3whfzMrJnN6x,balance_average,last_180_days,-1454.960629,balance,amount,Average balance,-7.283421187869052,3.240247298643542,3.240247298643542,IQR,balance_average
eus_PLh3KYeaMc3whfzMrJnN6x,balance_average,last_3_calendar_months,-984.9071739,balance,amount,Average balance,-6.8935622060531525,3.1494386183535363,3.1494386183535363,IQR,balance_average
eus_PLh3KYeaMc3whfzMrJnN6x,balance_average,last_6_calendar_months,-1596.863812,balance,amount,Average balance,-7.3764228986644085,3.2619099074737967,3.2619099074737967,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_30_days,-59.67066667,balance,amount,Average balance,-4.105460330356006,2.500014432544458,2.500014432544458,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_90_days,-28.36977778,balance,amount,Average balance,-3.3799661789578663,2.331027261491687,2.331027261491687,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_120_days,-1857.836417,balance,amount,Average balance,-7.527705988690956,3.297147822710522,3.297147822710522,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_180_days,-1497.517,balance,amount,Average balance,-7.312231231370379,3.2469579354416664,3.2469579354416664,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_365_days,-1024.283233,balance,amount,Average balance,-6.932724178279869,3.158560498780397,3.158560498780397,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_1_calendar_months,-10.00935484,balance,amount,Average balance,-2.3987453513791697,2.1024744447514916,2.1024744447514916,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_3_calendar_months,-1913.381087,balance,amount,Average balance,-7.5571496572098,3.304006047878604,3.304006047878604,IQR,balance_average
eus_KHBfD5NppjnQVNecZ46zp4,balance_average,last_6_calendar_months,-1336.958177,balance,amount,Average balance,-7.198899982352104,3.2205600284060725,3.2205600284060725,IQR,balance_average
