heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_diSGLMTnGLStiXof5aU7a9,inflows,last_365_days,1614.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.249546539656171,Z-score,inflows
eus_2AJ2MrpRqUn3pJoWFGMFya,inflows,last_365_days,1195.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.756332180399794,Z-score,inflows
eus_NS2eL9iULiTQbcf9zpGDJg,inflows,last_180_days,1039.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.200386022776895,Z-score,inflows
eus_NS2eL9iULiTQbcf9zpGDJg,inflows,last_365_days,2080.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.910257497683549,Z-score,inflows
eus_S6CZTSEYBiJs4z2rXDUbzV,inflows,last_365_days,1070.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.3108625028173426,Z-score,inflows
eus_GMXgEgqGqwXCvzR33DZgNb,inflows,last_365_days,1642.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.34933174743464,Z-score,inflows
eus_EFk7UNEQxt2Pfshb9JNcLf,inflows,last_365_days,1548.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.014338549892637,Z-score,inflows
eus_U7UekAovyz4YKGnhX2HaAJ,inflows,last_180_days,1013.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.107728329839745,Z-score,inflows
eus_U7UekAovyz4YKGnhX2HaAJ,inflows,last_365_days,1926.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.361438854901969,Z-score,inflows
eus_cnbnr2ffHNGoqionre2hmd,inflows,last_365_days,996.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.0471444536885315,Z-score,inflows
eus_VYUMPHbWNNfWEYL87xAuRp,inflows,last_365_days,1434.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.608070203937441,Z-score,inflows
eus_Ytu2yn8yRJvujNbRbfctvq,inflows,last_365_days,1648.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.370714291958598,Z-score,inflows
eus_WpaW66fXUg5zUXFsk8URJV,inflows,last_365_days,1605.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.217472722870235,Z-score,inflows
eus_CRW7BeqiX9W34L2iAdVecw,inflows,last_90_days,1000.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.06139948337117,Z-score,inflows
eus_CRW7BeqiX9W34L2iAdVecw,inflows,last_120_days,1325.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.219620645085543,Z-score,inflows
eus_CRW7BeqiX9W34L2iAdVecw,inflows,last_180_days,1750.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.734217548865878,Z-score,inflows
eus_CRW7BeqiX9W34L2iAdVecw,inflows,last_365_days,2984.0,data_quality,n,The number of inflows (Transaction.amount > 0),10.131894205959837,Z-score,inflows
eus_bKxxs4J56YP4GAQ7VtHiKC,inflows,last_365_days,1808.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.940915479264135,Z-score,inflows
eus_JMoMD34JF2n3aiQxWDjR6b,inflows,last_365_days,992.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.032889424005893,Z-score,inflows
eus_Vbrca83NnPPcB6UNFhGQ74,inflows,last_365_days,1266.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.009358957266627,Z-score,inflows
eus_hLgtJp6XPKbT3cksaw92ku,inflows,last_365_days,1196.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.759895937820454,Z-score,inflows
eus_Cw7E3jJVeuSXiyGB8x5MnL,inflows,last_365_days,1291.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.098452892783117,Z-score,inflows
eus_B4CKBwb4hCLbVXbVVZXnSN,inflows,last_365_days,1328.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.230311917347523,Z-score,inflows
eus_AGnz6sybaTfrZZG94VWAif,inflows,last_365_days,1582.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.135506302195063,Z-score,inflows
eus_dcbUhGbKpSHawNcNs7CrxJ,inflows,last_365_days,1548.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.014338549892637,Z-score,inflows
eus_beAaTf6EW3ARRCihMvmA5u,inflows,last_365_days,1830.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.019318142518647,Z-score,inflows
eus_mXrfgs6FFLtgeYckTHBoGQ,inflows,last_365_days,1247.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.941647566274094,Z-score,inflows
eus_GhYoZ9pPrWbw9eL5Mhvhcy,inflows,last_365_days,1061.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.2787886860314064,Z-score,inflows
eus_7DuThxadz3Dh4TcmQ8E3Z6,inflows,last_365_days,1333.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.24813070445082,Z-score,inflows
eus_VmAH3ygGH7oKfGUCRn8bwh,inflows,last_365_days,1566.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.07848618346451,Z-score,inflows
eus_CVzKzSyBG4pLTd8NAQd8Sg,inflows,last_365_days,1157.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.620909398414729,Z-score,inflows
eus_L8qwooxABDqcjUFLJSfoW9,inflows,last_90_days,2055.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.821163562167059,Z-score,inflows
eus_L8qwooxABDqcjUFLJSfoW9,inflows,last_120_days,2711.0,data_quality,n,The number of inflows (Transaction.amount > 0),9.158988430119763,Z-score,inflows
eus_L8qwooxABDqcjUFLJSfoW9,inflows,last_180_days,4001.0,data_quality,n,The number of inflows (Transaction.amount > 0),13.75623550277066,Z-score,inflows
eus_L8qwooxABDqcjUFLJSfoW9,inflows,last_365_days,8011.0,data_quality,n,The number of inflows (Transaction.amount > 0),28.0469027596157,Z-score,inflows
eus_dJJfzkeon9aKkXq2aKDagf,inflows,last_365_days,1000.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.06139948337117,Z-score,inflows
eus_B3ocATZNMDieMfCV5ZqcE6,inflows,last_365_days,1160.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.6316006706767077,Z-score,inflows
eus_NGBRig5csQa7WPGDXBEor4,inflows,last_365_days,1009.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.0934733001571066,Z-score,inflows
