heron_id,metric_label,metric_date_range,metric_value
eus_264GctgNhcqHemTqT2DgGy,category_coverage,latest,1
eus_264GctgNhcqHemTqT2DgGy,merchant_coverage,latest,0.13027061044682189
eus_264GctgNhcqHemTqT2DgGy,unconnected_account_ratio,last_365_days,0.67927525462350624
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,last_30_days,2719.8923333333332
eus_264GctgNhcqHemTqT2DgGy,cogs_daily_average,last_30_days,110.18133333333333
eus_264GctgNhcqHemTqT2DgGy,opex_daily_average,last_30_days,140.066
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,last_90_days,1252.8675555555556
eus_264GctgNhcqHemTqT2DgGy,cogs_daily_average,last_90_days,124.75733333333334
eus_264GctgNhcqHemTqT2DgGy,opex_daily_average,last_90_days,148.96155555555555
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,last_120_days,1000.1679166666667
eus_264GctgNhcqHemTqT2DgGy,cogs_daily_average,last_120_days,93.568
eus_264GctgNhcqHemTqT2DgGy,opex_daily_average,last_120_days,101.5115
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,last_180_days,1425.0002222222222
eus_264GctgNhcqHemTqT2DgGy,cogs_daily_average,last_180_days,105.48872222222222
eus_264GctgNhcqHemTqT2DgGy,opex_daily_average,last_180_days,120.26611111111112
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,last_365_days,1248.0150684931507
eus_264GctgNhcqHemTqT2DgGy,cogs_daily_average,last_365_days,139.95342465753424
eus_264GctgNhcqHemTqT2DgGy,opex_daily_average,last_365_days,171.464
eus_264GctgNhcqHemTqT2DgGy,revenue_sources,last_365_days,0
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,next_30_days,0.069350115
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,next_60_days,0.60995721584558693
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,next_90_days,0.45425231733909571
eus_264GctgNhcqHemTqT2DgGy,revenue_daily_average,next_180_days,0.494474393
eus_264GctgNhcqHemTqT2DgGy,revenue,last_1_calendar_months,7889.54
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue,last_1_calendar_months,92892.970967741931
eus_264GctgNhcqHemTqT2DgGy,cogs,last_1_calendar_months,4412.1
eus_264GctgNhcqHemTqT2DgGy,average_credit_card_spend,last_1_calendar_months,0
eus_264GctgNhcqHemTqT2DgGy,opex,last_1_calendar_months,5895.66
eus_264GctgNhcqHemTqT2DgGy,revenue_profit_and_loss,last_1_calendar_months,7889.54
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue_profit_and_loss,last_1_calendar_months,92892.970967741931
eus_264GctgNhcqHemTqT2DgGy,cogs_profit_and_loss,last_1_calendar_months,4412.1
eus_264GctgNhcqHemTqT2DgGy,opex_profit_and_loss,last_1_calendar_months,5895.66
eus_264GctgNhcqHemTqT2DgGy,revenue_monthly_average,last_1_calendar_months,7889.54
eus_264GctgNhcqHemTqT2DgGy,revenue,last_3_calendar_months,38723.38
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue,last_3_calendar_months,153630.80108695652
eus_264GctgNhcqHemTqT2DgGy,cogs,last_3_calendar_months,10249.3
eus_264GctgNhcqHemTqT2DgGy,average_credit_card_spend,last_3_calendar_months,0
eus_264GctgNhcqHemTqT2DgGy,opex,last_3_calendar_months,11679.4
eus_264GctgNhcqHemTqT2DgGy,revenue_profit_and_loss,last_3_calendar_months,38723.38
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue_profit_and_loss,last_3_calendar_months,153630.80108695652
eus_264GctgNhcqHemTqT2DgGy,cogs_profit_and_loss,last_3_calendar_months,10249.3
eus_264GctgNhcqHemTqT2DgGy,opex_profit_and_loss,last_3_calendar_months,11679.4
eus_264GctgNhcqHemTqT2DgGy,revenue_monthly_average,last_3_calendar_months,12907.793333333333
eus_264GctgNhcqHemTqT2DgGy,revenue,last_6_calendar_months,182575.53
eus_264GctgNhcqHemTqT2DgGy,revenue_growth_rate,last_6_calendar_months,-0.730811253
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue,last_6_calendar_months,368177.17375690606
eus_264GctgNhcqHemTqT2DgGy,cogs,last_6_calendar_months,20879.46
eus_264GctgNhcqHemTqT2DgGy,average_credit_card_spend,last_6_calendar_months,0
eus_264GctgNhcqHemTqT2DgGy,opex,last_6_calendar_months,34906.87
eus_264GctgNhcqHemTqT2DgGy,revenue_profit_and_loss,last_6_calendar_months,182575.53
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue_profit_and_loss,last_6_calendar_months,368177.17375690606
eus_264GctgNhcqHemTqT2DgGy,cogs_profit_and_loss,last_6_calendar_months,20879.46
eus_264GctgNhcqHemTqT2DgGy,opex_profit_and_loss,last_6_calendar_months,34906.87
eus_264GctgNhcqHemTqT2DgGy,revenue_monthly_average,last_6_calendar_months,30429.255
eus_264GctgNhcqHemTqT2DgGy,revenue,last_12_calendar_months,500237.54
eus_264GctgNhcqHemTqT2DgGy,annualized_revenue,last_12_calendar_months,500237.54
eus_264GctgNhcqHemTqT2DgGy,cogs,last_12_calendar_months,53396.33
eus_264GctgNhcqHemTqT2DgGy,average_credit_card_spend,last_12_calendar_months,38.708333333333336
eus_264GctgNhcqHemTqT2DgGy,opex,last_12_calendar_months,65466.57
